"","dates","sp_all","abundance_warm"
"1","1981","Anas platyrhynchos",474.25
"2","1982","Anas platyrhynchos",493.75
"3","1983","Anas platyrhynchos",678
"4","1984","Anas platyrhynchos",951.5
"5","1985","Anas platyrhynchos",1328
"6","1986","Anas platyrhynchos",1842.5
"7","1987","Anas platyrhynchos",322.5
"8","1988","Anas platyrhynchos",885.5
"9","1989","Anas platyrhynchos",765
"10","1990","Anas platyrhynchos",805
"11","1991","Anas platyrhynchos",1261.25
"12","1992","Anas platyrhynchos",1272.5
"13","1993","Anas platyrhynchos",1392.5
"14","1994","Anas platyrhynchos",685
"15","1995","Anas platyrhynchos",1202.5
"16","1996","Anas platyrhynchos",1127.5
"17","1997","Anas platyrhynchos",622.5
"18","1998","Anas platyrhynchos",326.5
"19","1999","Anas platyrhynchos",702.5
"20","2000","Anas platyrhynchos",670
"21","2001","Anas platyrhynchos",470
"22","2002","Anas platyrhynchos",456.25
"23","2003","Anas platyrhynchos",502.5
"24","2004","Anas platyrhynchos",551.25
"25","2005","Anas platyrhynchos",323.75
"26","2006","Anas platyrhynchos",1070
"27","2007","Anas platyrhynchos",252
"28","2008","Anas platyrhynchos",397.5
"29","2009","Anas platyrhynchos",654.5
"30","2010","Anas platyrhynchos",464
"31","2011","Anas platyrhynchos",1165
"32","2012","Anas platyrhynchos",861.75
"33","2013","Anas platyrhynchos",1984
"34","2014","Anas platyrhynchos",545.25
"35","2015","Anas platyrhynchos",481.5
"36","1981","Anas acuta",26.25
"37","1982","Anas acuta",25
"38","1983","Anas acuta",16
"39","1984","Anas acuta",3.5
"40","1985","Anas acuta",6.5
"41","1986","Anas acuta",14
"42","1987","Anas acuta",0
"43","1988","Anas acuta",6
"44","1989","Anas acuta",4.5
"45","1990","Anas acuta",3
"46","1991","Anas acuta",8.75
"47","1992","Anas acuta",33.25
"48","1993","Anas acuta",35.5
"49","1994","Anas acuta",28.75
"50","1995","Anas acuta",28.25
"51","1996","Anas acuta",34.25
"52","1997","Anas acuta",24.5
"53","1998","Anas acuta",21.5
"54","1999","Anas acuta",10
"55","2000","Anas acuta",23
"56","2001","Anas acuta",21.5
"57","2002","Anas acuta",7.25
"58","2003","Anas acuta",9.5
"59","2004","Anas acuta",15
"60","2005","Anas acuta",7.75
"61","2006","Anas acuta",14.75
"62","2007","Anas acuta",2.25
"63","2008","Anas acuta",3.5
"64","2009","Anas acuta",0.75
"65","2010","Anas acuta",0
"66","2011","Anas acuta",7
"67","2012","Anas acuta",2.75
"68","2013","Anas acuta",4
"69","2014","Anas acuta",4.5
"70","2015","Anas acuta",5.5
"71","1981","Anas strepera",59.5
"72","1982","Anas strepera",13.25
"73","1983","Anas strepera",21.25
"74","1984","Anas strepera",14.5
"75","1985","Anas strepera",19.75
"76","1986","Anas strepera",58.25
"77","1987","Anas strepera",0
"78","1988","Anas strepera",0
"79","1989","Anas strepera",21
"80","1990","Anas strepera",17.5
"81","1991","Anas strepera",31
"82","1992","Anas strepera",19
"83","1993","Anas strepera",52.75
"84","1994","Anas strepera",24
"85","1995","Anas strepera",64.75
"86","1996","Anas strepera",8
"87","1997","Anas strepera",30
"88","1998","Anas strepera",9
"89","1999","Anas strepera",17.25
"90","2000","Anas strepera",23
"91","2001","Anas strepera",7.5
"92","2002","Anas strepera",1.5
"93","2003","Anas strepera",7.5
"94","2004","Anas strepera",0
"95","2005","Anas strepera",7
"96","2006","Anas strepera",17
"97","2007","Anas strepera",1
"98","2008","Anas strepera",5.5
"99","2009","Anas strepera",16
"100","2010","Anas strepera",0.75
"101","2011","Anas strepera",8.5
"102","2012","Anas strepera",23.75
"103","2013","Anas strepera",24.5
"104","2014","Anas strepera",1
"105","2015","Anas strepera",4.5
"106","1981","Anas penelope",12.25
"107","1982","Anas penelope",5
"108","1983","Anas penelope",22
"109","1984","Anas penelope",9.25
"110","1985","Anas penelope",6.25
"111","1986","Anas penelope",20
"112","1987","Anas penelope",0
"113","1988","Anas penelope",0
"114","1989","Anas penelope",6
"115","1990","Anas penelope",1.5
"116","1991","Anas penelope",6.5
"117","1992","Anas penelope",5
"118","1993","Anas penelope",9.25
"119","1994","Anas penelope",3.5
"120","1995","Anas penelope",0
"121","1996","Anas penelope",1.5
"122","1997","Anas penelope",0
"123","1998","Anas penelope",0
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",0
"127","2002","Anas penelope",0
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",0
"132","2007","Anas penelope",0
"133","2008","Anas penelope",0
"134","2009","Anas penelope",0
"135","2010","Anas penelope",0
"136","2011","Anas penelope",0
"137","2012","Anas penelope",0
"138","2013","Anas penelope",4.75
"139","2014","Anas penelope",0
"140","2015","Anas penelope",0
"141","1981","Anas clypeata",101.5
"142","1982","Anas clypeata",45
"143","1983","Anas clypeata",68.5
"144","1984","Anas clypeata",31
"145","1985","Anas clypeata",83.5
"146","1986","Anas clypeata",51.5
"147","1987","Anas clypeata",9
"148","1988","Anas clypeata",59.5
"149","1989","Anas clypeata",42.75
"150","1990","Anas clypeata",45.75
"151","1991","Anas clypeata",37.75
"152","1992","Anas clypeata",82.75
"153","1993","Anas clypeata",70
"154","1994","Anas clypeata",66
"155","1995","Anas clypeata",64.5
"156","1996","Anas clypeata",34.5
"157","1997","Anas clypeata",30.5
"158","1998","Anas clypeata",11.75
"159","1999","Anas clypeata",107.75
"160","2000","Anas clypeata",103
"161","2001","Anas clypeata",42.25
"162","2002","Anas clypeata",42
"163","2003","Anas clypeata",23.75
"164","2004","Anas clypeata",18
"165","2005","Anas clypeata",0
"166","2006","Anas clypeata",26.5
"167","2007","Anas clypeata",8.75
"168","2008","Anas clypeata",6.25
"169","2009","Anas clypeata",23.25
"170","2010","Anas clypeata",27.75
"171","2011","Anas clypeata",7
"172","2012","Anas clypeata",22
"173","2013","Anas clypeata",70.75
"174","2014","Anas clypeata",30.25
"175","2015","Anas clypeata",16.5
"176","1981","Anas crecca",98
"177","1982","Anas crecca",65
"178","1983","Anas crecca",560
"179","1984","Anas crecca",145.75
"180","1985","Anas crecca",47.25
"181","1986","Anas crecca",120.5
"182","1987","Anas crecca",6.75
"183","1988","Anas crecca",48.75
"184","1989","Anas crecca",64.5
"185","1990","Anas crecca",37.5
"186","1991","Anas crecca",45.75
"187","1992","Anas crecca",64.25
"188","1993","Anas crecca",77.5
"189","1994","Anas crecca",65.25
"190","1995","Anas crecca",49
"191","1996","Anas crecca",24.5
"192","1997","Anas crecca",101
"193","1998","Anas crecca",103
"194","1999","Anas crecca",44.25
"195","2000","Anas crecca",65
"196","2001","Anas crecca",77.5
"197","2002","Anas crecca",96.5
"198","2003","Anas crecca",19.5
"199","2004","Anas crecca",97
"200","2005","Anas crecca",12
"201","2006","Anas crecca",47.25
"202","2007","Anas crecca",15.75
"203","2008","Anas crecca",10.75
"204","2009","Anas crecca",83.75
"205","2010","Anas crecca",53
"206","2011","Anas crecca",37.75
"207","2012","Anas crecca",63.75
"208","2013","Anas crecca",131.25
"209","2014","Anas crecca",29.25
"210","2015","Anas crecca",10
"211","1981","Anas querquedula",15.75
"212","1982","Anas querquedula",6.75
"213","1983","Anas querquedula",13
"214","1984","Anas querquedula",9.5
"215","1985","Anas querquedula",12.5
"216","1986","Anas querquedula",3.5
"217","1987","Anas querquedula",0
"218","1988","Anas querquedula",11.25
"219","1989","Anas querquedula",3
"220","1990","Anas querquedula",0
"221","1991","Anas querquedula",1.75
"222","1992","Anas querquedula",15.75
"223","1993","Anas querquedula",3.5
"224","1994","Anas querquedula",10.75
"225","1995","Anas querquedula",9
"226","1996","Anas querquedula",6
"227","1997","Anas querquedula",13.75
"228","1998","Anas querquedula",0
"229","1999","Anas querquedula",9
"230","2000","Anas querquedula",13.5
